customer_id,first_name,last_name,dob,email,phone,address,city,state,kyc_status,created_at
CUST000001,Ayushman,Chander,1963-04-24,issaconi@example.org,9402654235,"H.No. 59, Bassi Road",Bangalore,MH,VERIFIED,2024-04-14 08:25:05.549166
CUST000002,Jeet,Radhakrishnan,1955-03-15,janaki93@example.net,0341316475,"41/928, Gade Ganj",Pune,MH,VERIFIED,2025-06-28 19:32:53.582910
CUST000003,Anamika,Kanda,1990-05-04,karnikazad@example.com,4139537672,"96/965, Devi Ganj",Bangalore,KA,REJECTED,2024-06-11 01:45:40.405641
CUST000004,Gavin,Batta,2000-07-29,nathanielsami@example.net,6697848018,"27, Lall Nagar",Kolkata,MH,VERIFIED,2024-08-17 17:01:19.785217
CUST000005,Pranav,Tripathi,2003-07-26,yashica93@example.org,2880957015,"11/71, Dass Circle",Bangalore,MH,VERIFIED,2026-06-10 07:55:55.678073
CUST000006,Vaishnavi,Gandhi,1966-01-02,ikakar@example.net,4657871331,"30/10, Bir Ganj",Mumbai,MH,REJECTED,2023-02-19 07:41:36.523506
CUST000007,Ganga,Bobal,1980-06-14,vedika38@example.org,3763116566,"51, Handa Ganj",Kolkata,MH,PENDING,2026-03-07 05:12:57.604492
CUST000008,Saumya,Dey,1975-02-06,turvi31@example.com,0801326773,"H.No. 647, Sampath Road",Chennai,MH,VERIFIED,2023-05-18 18:41:32.743381
CUST000009,Vidhi,Dubey,1961-08-23,dalbirbhat@example.net,0097882081,"36/193, Baral",Kolkata,DL,VERIFIED,2025-05-12 09:24:36.538482
CUST000010,Oni,Virk,1968-12-24,samarth53@example.com,2475107991,"513, Mane Path",Hyderabad,MH,VERIFIED,2025-01-21 21:47:03.344545
CUST000011,Chasmum,Wadhwa,1951-01-31,hemang24@example.org,8244935348,"64/005, Lala Street",Bangalore,KA,PENDING,2023-04-02 07:50:45.784664
CUST000012,Riya,Sane,1983-03-01,borramanthan@example.net,5982620450,"H.No. 86, Dubey",Bangalore,DL,VERIFIED,2023-04-07 19:33:23.588031
CUST000013,Warjas,Gaba,2007-04-02,nitarabakshi@example.org,6342160733,"036, Mallick Path",Chennai,MH,PENDING,2026-04-05 07:53:03.360613
CUST000014,Arya,Panchal,1987-11-02,vyadav@example.org,4294019655,"93, Basu Road",Bangalore,WB,VERIFIED,2026-01-07 10:50:52.584150
CUST000015,Aarav,Venkatesh,2004-04-25,janujasankar@example.org,9514846564,"62/994, Acharya Marg",Chennai,DL,REJECTED,2025-05-29 20:10:53.874862
CUST000016,Shivansh,Sani,1996-03-16,udyati77@example.net,8721489513,"H.No. 037, Bora",Pune,KA,VERIFIED,2023-10-28 10:19:47.335796
CUST000017,Robert,Rajagopalan,1979-04-22,manbirahluwalia@example.org,3287083172,"98, Sehgal Marg",Pune,TN,VERIFIED,2024-06-01 06:42:57.474367
CUST000018,Vaishnavi,Sengupta,1965-08-30,aradhanaverma@example.com,4714345581,"23/166, Shukla Path",Pune,KA,PENDING,2026-02-23 11:11:38.599591
CUST000019,Samuel,Salvi,1973-03-22,raivansha@example.org,4668893734,"H.No. 62, Datta Chowk",Chennai,GJ,VERIFIED,2024-04-05 13:17:29.149987
CUST000020,Avi,Ramesh,1984-12-17,chackopriya@example.org,2046537556,"08, Palla Nagar",Hyderabad,DL,VERIFIED,2026-06-22 23:18:51.770121
CUST000021,Ekapad,Baria,1994-05-18,ryanbahri@example.net,3271937452,"H.No. 19, Muni Nagar",Pune,TN,VERIFIED,2023-07-06 10:48:39.902320
CUST000022,Keya,Ranganathan,2005-03-28,faqidkibe@example.org,9190586518,"H.No. 657, Saran Street",Hyderabad,MH,VERIFIED,2024-11-20 12:57:01.272652
CUST000023,Anamika,Yohannan,1995-07-24,usarin@example.net,5314737996,"735, Oak Road",Ahmedabad,WB,VERIFIED,2023-04-28 15:25:08.320205
CUST000024,Anya,Anne,1980-08-05,frederickkhurana@example.net,7837770143,"88, Sandal Path",Pune,DL,VERIFIED,2023-09-23 18:39:46.507652
CUST000025,Ganga,Pandey,1991-05-25,damini43@example.org,5182337498,"H.No. 35, Mittal Street",Pune,MH,VERIFIED,2026-07-15 17:41:40.235250
CUST000026,Jonathan,Mahal,1953-04-09,masterjonathan@example.net,1094777520,"71, Bera",Kolkata,TN,VERIFIED,2022-09-08 20:14:17.593395
CUST000027,Daksha,Chada,2008-04-12,sahaupkaar@example.net,7749649909,"12/328, Dugar Zila",Pune,DL,VERIFIED,2023-03-24 17:06:25.007669
CUST000028,Shravya,Singhal,1967-07-11,bhavyamandal@example.net,1349361832,"499, Sarna Road",Ahmedabad,WB,PENDING,2022-08-23 10:13:57.814167
CUST000029,Daksha,Rau,2005-04-22,fsarma@example.net,6594013990,"87, Golla Road",Hyderabad,TN,VERIFIED,2023-02-13 13:01:22.564625
CUST000030,Rajata,Swamy,2006-11-02,apall@example.com,1256746807,"H.No. 680, Shere Circle",Pune,TN,REJECTED,2026-07-16 04:28:42.964341
CUST000031,Raghav,Vasa,1971-08-13,wsathe@example.org,4824771093,"61/31, Dalal Chowk",Kolkata,WB,VERIFIED,2024-04-01 22:31:05.273910
CUST000032,Mitesh,Tara,2004-09-22,yashodhara46@example.com,3782639821,"H.No. 449, Suri",Pune,TS,REJECTED,2025-03-03 10:39:36.101038
CUST000033,Sanya,Yohannan,1978-09-21,krishna75@example.org,9636057662,"H.No. 718, Aurora Chowk",Ahmedabad,KA,VERIFIED,2026-01-08 18:01:10.171171
CUST000034,Nimrat,Dubey,1954-12-21,hamsini96@example.net,5865780913,"H.No. 172, Balakrishnan Road",Bangalore,TS,VERIFIED,2025-06-18 09:15:27.164842
CUST000035,Daksh,Memon,1971-06-04,pdhingra@example.net,9222196937,"47/407, Dugar Road",Kolkata,KA,PENDING,2022-10-24 09:48:35.836913
CUST000036,Hemani,Mistry,1987-09-09,dkrishna@example.com,6713695944,"09/74, Pandey Ganj",Kolkata,GJ,REJECTED,2022-12-03 06:58:56.905207
CUST000037,Ranveer,Krishna,1989-12-10,gunbirbaral@example.com,0952145623,"474, Contractor Path",Chennai,MH,VERIFIED,2023-06-28 23:37:18.906122
CUST000038,Faqid,Dhaliwal,1994-05-16,mekhalapau@example.org,0481754965,"85/93, Shetty Zila",Chennai,DL,VERIFIED,2024-06-19 18:15:50.034245
CUST000039,Chasmum,Rege,1957-05-25,baraddaksha@example.com,1382675869,"64/05, Sawhney Ganj",Chennai,WB,VERIFIED,2026-03-12 21:28:34.751325
CUST000040,Warinder,Patil,1956-05-23,jagrati06@example.com,1713900532,"33/52, Agate",Ahmedabad,MH,VERIFIED,2024-05-16 22:32:52.720819
CUST000041,Maanav,De,1981-12-18,imaranbal@example.org,5395024026,"58, Chopra",Hyderabad,KA,VERIFIED,2023-09-20 08:48:05.054812
CUST000042,Timothy,Bassi,1992-10-23,tara00@example.com,6177115921,"98, Setty Road",Pune,TS,VERIFIED,2024-05-27 09:34:49.778115
CUST000043,Qushi,Chaudhary,1996-08-18,kalequshi@example.com,6576615654,"H.No. 116, Pradhan Zila",Hyderabad,MH,REJECTED,2024-08-12 00:30:03.783177
CUST000044,Darpan,Narayan,1989-06-29,qpandya@example.com,4945198327,"H.No. 493, Bal Marg",Delhi,GJ,VERIFIED,2025-10-24 04:57:55.126190
